Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
61,STARBUCKS 星巴克 (洲子門市),ChIJhXT-EGWsQjQRSPt94VOErCI,25.079022,121.57328500000001,4.2,594,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",內湖區洲子街48號
63,STARBUCKS 星巴克 (內湖文德門市),ChIJw--gx4msQjQRRRxxkkHhp-Y,25.0782943,121.5842074,4.3,350,"['cafe', 'food', 'point_of_interest', 'establishment']",內湖區文德路212號
65,STARBUCKS 星巴克 (潤湖門市),ChIJoTPG5MarQjQRaAevW23wyMI,25.084039,121.5944166,3.8,85,"['cafe', 'food', 'point_of_interest', 'establishment']","2 188號, 成功路四段, 內湖區"
67,LOUISA COFFEE 路易莎咖啡 (內湖CITYLINK門市),ChIJV0XYXu2sQjQROMDfRpCTjC0,25.0843879,121.59463889999999,3.2,253,"['cafe', 'food', 'point_of_interest', 'establishment']",內湖區成功路四段188號
70,Louisa Coffee 路易．莎咖啡(內湖成功直營店),ChIJR-6xP42sQjQRn4dVhq4rS7s,25.0823361,121.59290179999999,3.7,556,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",內湖區成功路四段75號1樓
71,Louisa Coffee 路易．莎咖啡(葫洲直營店),ChIJh1lgR5asQjQRm6hiDH0QM24,25.0732266,121.606575,3.8,413,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",內湖區成功路五段466號
72,STARBUCKS 星巴克 (內湖葫洲門市),ChIJOfTYj72sQjQRf3G0RuNSw48,25.0729605,121.60621850000001,4.2,457,"['cafe', 'food', 'point_of_interest', 'establishment']",內湖區民權東路六段312號
74,Louisa Coffee 路易．莎咖啡(東湖店),ChIJK3KGI7usQjQRFxK2lDu3tro,25.0691311,121.6119116,3.5,334,"['cafe', 'food', 'point_of_interest', 'establishment']",內湖區東湖路33巷8號
75,STARBUCKS RESERVE™ 星巴克典藏咖啡 (南港中信門市),ChIJDVyIs6esQjQR3c3nSIS5qIw,25.0592805,121.6154431,4.4,457,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",南港區經貿二路186號
77,Mövenpick Café-莫凡彼中信園區店,ChIJc0hu1qesQjQRW8EqYgF2-5M,25.058954999999997,121.61618429999999,4.3,443,"['cafe', 'food', 'point_of_interest', 'establishment']",南港區經貿二路170號1F
78,MR.BROWN 伯朗咖啡館 (南港店),ChIJv26AB6isQjQRwAECbFqidxA,25.0568622,121.6172757,3.8,254,"['cafe', 'food', 'point_of_interest', 'establishment']",南港區經貿二路1號1樓
