,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
555,八方雲集鍋貼水餃專賣店,ChIJ8bno5PYBaDQRp7jZ-tCaKzA,24.9791299,121.542505,3.6,289,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","No. 4號, Section 3, Beixin Road, Xindian District"
557,PIZZA HUT必勝客-新店民權店,ChIJyYBwk_gBaDQRqCtqWsTjyEY,24.9830353,121.5384275,3.6,142,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",新店區民權路66號
559,八方雲集鍋貼水餃專賣店,ChIJN_HfgjwBaDQROp2BVz9zZC4,24.9835065,121.5398889,2.9,70,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 19號, Lane 42, Minquan Road, Xindian District"
561,八方雲集鍋貼水餃專賣店,ChIJI7SvJQiqQjQRwQ10XQ6fN_A,24.994249,121.544898,3.4,241,"['restaurant', 'food', 'point_of_interest', 'establishment']",文山區景興路135號
563,PIZZA HUT必勝客-景美餐廳店(歡樂吧),ChIJEXdW6gaqQjQRtlnDwNoSx3U,24.9923631,121.5442633,4,990,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",文山區景興路193號
565,摩斯漢堡 景興店,ChIJI37CuBOqQjQRogW1LekLE80,24.9924835,121.5443243,4,1196,"['restaurant', 'food', 'point_of_interest', 'establishment']",文山區景興路191號
568,八方雲集水餃鍋貼專賣店(景美景文店),ChIJ23LilQCqQjQR6TK-ySAvJU0,24.9903709,121.541221,3.4,278,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 123號, Jingwen Street, Wenshan District"
569,Subway Shih Hsin University,ChIJ2VQddAeqQjQRpUK5etXkkr8,24.9895339,121.5450894,4.1,27,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 1, 木柵路一段17巷, Wenshan District"
572,八方雲集鍋貼水餃專賣店,ChIJ_cwq2AKqQjQRIVifT3tF-ss,24.9996701,121.5397277,2.8,289,"['restaurant', 'food', 'point_of_interest', 'establishment']",文山區羅斯福路六段30之2號
574,摩斯漢堡 台大小福店,ChIJZ3dYjCeqQjQR4oYu4Y0hbWI,25.0186203,121.5373982,3,91,"['restaurant', 'food', 'point_of_interest', 'establishment']",大安區羅斯福路四段1號
