,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
58,國泰世華銀行 安和分行,ChIJR6XCzzKqQjQRdZUWf2bIGlQ,25.0287447,121.5502169,2.9,15,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區安和路二段92號
59,美商高盛亞洲證券有限公司,ChIJu3wnbTKqQjQR7itfH7hZ63g,25.0259859,121.549306,5,4,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段207號11樓
60,華南銀行 敦和分行,ChIJG8j6mTKqQjQRMzP56HoVqU0,25.0282639,121.5491417,1.9,14,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段107號
61,滙豐銀行 安和分行,ChIJ54NcaJ6rQjQRmKojnfXhK4o,25.0264547,121.5501271,4.4,9,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區安和路二段205號
62,遠東國際商業銀行,ChIJm3EnbTKqQjQRegaRtScGkPs,25.0259859,121.549306,2.9,17,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段207號
63,中國信託安和分行,ChIJz-EIXDKqQjQR85amw3cY_zI,25.0266651,121.550074,1.9,17,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區安和路二段195號
65,華泰銀行,ChIJdSs-9S2qQjQRuf7zGu1f1-o,25.0259688,121.5483838,2.5,4,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段130號
66,兆豐銀行(敦南分行),ChIJc6RTVS2qQjQRcs73dXRt0xE,25.0301143,121.5483886,1.7,21,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段62號
67,中國信託敦南分行,ChIJ_RdPWC2qQjQRm9sT6q2pvYg,25.0297623,121.5483909,3.7,26,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段68號
68,道富銀行,ChIJT0zzejKqQjQRi9pxcb_62XQ,25.0260127,121.5493,3,1,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段207號19F
71,臺灣企銀,ChIJ-8DpmjKqQjQRsUxqOrE01iU,25.0280777,121.5490137,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","Lane 171, Section 2, Anhe Road, Da’an District"
72,台企大安分行,ChIJzT67a8arQjQRph5lQxrrAtI,25.0282632,121.5483921,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 92號, Section 2, Dunhua South Road, Da’an District"
74,元富銀行,ChIJBShGuzKqQjQR1gIUJDNmk10,25.0289307,121.549271,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 97, Section 2, Dunhua South Road, Da’an District"
78,Land Bank of Taiwan,ChIJHc0mWS2qQjQRR47tIWoke68,25.0291593,121.548407,3,6,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 76號, Section 2, Dunhua South Road, Da’an District"
79,Taiwan Cooperative Bank,ChIJvW7hTM2rQjQRzzYfhJ-FeX4,25.0300722,121.5493362,3,19,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 1號, Lane 81, Section 2, Dunhua South Road, Da’an District"
81,合作金庫商業銀行大安分行匯兌,ChIJm-ULTs2rQjQROjSc9ulXTQs,25.030284,121.549201,3,1,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 77, Section 2, Dunhua South Road, Da’an District"
95,上海銀行 信義分行,ChIJ39m2n9KrQjQRmoBy6kTYDZI,25.0316059,121.5483129,3.5,6,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段40號
96,新光銀行大安分行,ChIJibvrEyyqQjQRArNBrV-9dVg,25.0270145,121.5436612,3.6,8,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區復興南路二段177號
99,元大銀行 台北分行,ChIJiStHntKrQjQR2LT--ds3_pg,25.0306771,121.5484183,3.1,14,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段56號
101,臺灣銀行 (大安分行),ChIJaxRDRc2rQjQRJdjgDrO0GlE,25.0306449,121.549205,3.7,17,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段69號
102,第一銀行 世貿分行,ChIJ0XLbRM2rQjQRRf_vMsqn2yI,25.0307989,121.549193,1,2,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段65號
104,凱基銀行 敦南分行,ChIJ2cHAddKrQjQRCuD8qHkq2UE,25.0316875,121.54838,3.8,10,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段38號
108,TCB 合作金庫商業銀行 資訊室,ChIJ_b8hGtOrQjQR8qTWoC9DHjs,25.0326169,121.5448446,2.3,3,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路四段30巷9號
114,Land Bank of Taiwan,ChIJk0CY3NKrQjQRA4HHEPNGMUc,25.031793,121.5462229,3.2,11,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 37號, Section 2, Da'an Road, Da’an District"
115,玉山銀行 大安分行,ChIJx9tvHiyqQjQRF9pmsspEfCM,25.0258904,121.5436729,3.8,66,"['bank', 'finance', 'point_of_interest', 'establishment']","1樓, No. 237號, Section 2, Fuxing South Road, Da’an District"
