,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
54,美而美早餐,ChIJtSjc4s-oQjQRUzgTczBgMbo,25.0788414,121.4797419,3.9,36,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區三和路四段396巷43號
55,極堡美而美,ChIJrxu_a82pQjQRBuFSpN4TWZw,25.082633,121.4774709,4.9,10,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區鷺江街59號
56,JSP呷尚寶中西式早餐店 ─ 蘆洲鷺江店,ChIJt4SIYc6oQjQR8nRhKOvkeLk,25.083009,121.477171,3.8,48,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區三民路26巷35號
58,上林美而美,ChIJYxvBjM6oQjQRrnEJnZk-kZU,25.0828987,121.4765799,4,2,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 11, Lane 26, Sanmin Road, Luzhou District"
59,麥味登鷺江99店,ChIJf2Y_2XipQjQRmnyLpGChbr4,25.0839798,121.4767803,4.2,34,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 99號, Lujiang Street, Luzhou District"
60,瑞麟美而美,ChIJ7fnzK8yoQjQREnMWFlZkvak,25.0843043,121.4766175,5,2,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 38, Minzu Road, Luzhou District"
62,拉亞漢堡 蘆洲鷺江（鷺江國小旁）,ChIJh-MoRcyoQjQRrBlF1H-CZD8,25.0862224,121.4761268,4.3,192,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區民權路23號
63,麥香美而美,ChIJU_NB-8yoQjQRAAvCZXzs99E,25.0873868,121.4766133,4,21,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 128, Fuxing Road, Luzhou District"
71,弘爺漢堡 蘆洲水湳店,ChIJeWGH89mpQjQRJYrXudIJt80,25.0886087,121.4726248,3.3,51,"['restaurant', 'food', 'point_of_interest', 'establishment']","1樓, No. 16號, Shuihu Street, Luzhou District"
72,巨林美而美,ChIJpSt1a8uoQjQRktwkuad06bk,25.0891872,121.4722652,4.2,39,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 46號, Minyi Street, Luzhou District"
76,上林美而美,ChIJ3Z5zebWoQjQR9HJqzbcHBKg,25.0889608,121.4680603,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區民族路433號
77,麥味登速食,ChIJ_3up67WoQjQRkH3Hm1M1WdY,25.0874992,121.4672445,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",Taiwan
78,呷尚寶蘆洲快樂店,ChIJdwJi3LOoQjQRzsKMTjITuU8,25.0883039,121.4610393,4.3,118,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區光榮路40號
79,金盃美而美 蘆洲光榮店,ChIJ22ul1rOoQjQRfzr8V5dADQM,25.0882689,121.4602964,4.5,46,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 18號, Guangrong Road, Luzhou District"
80,瑞麟美而美,ChIJy6P2ykyvQjQRPJmteFnsfXA,25.0932347,121.4612043,4.6,10,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區長榮路713號
82,拉亞漢堡 土城永寧,ChIJL3IvrnEdaDQR64cvZtQpmxM,24.9676802,121.4370044,3.5,11,"['restaurant', 'food', 'point_of_interest', 'establishment']",土城區中央路三段54號
